co_professor,no_professor
0,Melissa da Paz
1,Murilo da Paz
2,Benicio Dias
3,Daniel da Luz
4,Emanuella Melo
5,Joao Miguel Cavalcanti
6,Danilo Cardoso
7,Joao Lucas da Cruz
8,Maria Vitoria Fernandes
9,Leonardo Costa
10,Valentina Azevedo
11,Benjamin da Cunha
12,Felipe da Luz
13,Arthur Cunha
14,Agatha Carvalho
15,Enzo Dias
16,Caio Moura
17,Emanuelly Lima
18,Nicole Viana
19,Joao Lucas Araujo
20,Luiz Gustavo Santos
21,Ana Clara Duarte
22,Joao Rocha
23,Nicole Duarte
24,Bruna Farias
25,Maria Julia da Luz
26,Beatriz da Mota
27,Heitor Moura
28,Sophia da Mata
29,Mariane Souza
30,Isadora Gomes
31,Gabrielly Alves
32,Bruno Vieira
33,Ryan Santos
34,Marcela Alves
35,Levi da Paz
36,Lucas Gabriel Martins
37,Isabelly Nunes
38,Thales da Rosa
39,Daniel Costa
40,Gabriela Dias
41,Juan das Neves
42,Marcos Vinicius Nunes
43,Joao Guilherme Almeida
44,Pietro da Paz
45,Calebe Almeida
46,Enzo Gabriel Peixoto
47,Camila Moura
48,Melissa Rezende
49,Nicolas Novaes
50,Maria Pires
51,Thomas da Costa
52,Fernanda Costa
53,Alicia Souza
54,Sophia Silveira
55,Alana Cardoso
56,Pietra Nascimento
57,Stella Nogueira
58,Heitor da Costa
59,Julia Lopes
60,Cecilia Cardoso
61,Luiz Felipe Correia
62,Heitor Mendes
63,Leticia Souza
64,Noah Ramos
65,Maysa Nunes
66,Theo Monteiro
67,Heitor Nunes
68,Sabrina Jesus
69,Levi Ferreira
70,Luiz Miguel Viana
71,Maysa Azevedo
72,Pedro Lucas da Paz
73,Alexia Ferreira
74,Augusto Cunha
75,Gustavo Henrique Oliveira
76,Nina Sales
77,Bruna Pires
78,Lucas Cavalcanti
79,Lucas Gabriel Gomes
80,Andre Ferreira
81,Luiz Miguel Almeida
82,Ana Sophia Lima
83,Vitor Hugo Jesus
84,Alexandre Rodrigues
85,Joao Felipe Gomes
86,Luna Fogaca
87,Lara Azevedo
88,Barbara Jesus
89,Kamilly Barbosa
90,Theo Cardoso
91,Pedro Henrique Lima
92,Elisa Nunes
93,Joaquim Lopes
94,Vitoria Rezende
95,Isabella Araujo
96,Arthur da Costa
97,Calebe Lima
98,Davi Lucca Lima
99,Eduardo Cavalcanti
100,Giovanna Castro
101,Noah Jesus
102,Calebe das Neves
103,Rodrigo Costela
104,Enzo Gabriel Melo
105,Cauê Rezende
106,Maria Sophia Costa
107,Ian Costa
108,Otavio da Cunha
109,Luiz Miguel Fogaca
110,Leonardo Pinto
111,Eduardo Cavalcanti
112,Theo Cardoso
113,Nina da Luz
114,Leonardo Goncalves
115,Davi das Neves
116,Diego Cunha
117,Maria Luiza Araujo
118,Carolina Lopes
119,Ana Clara Lima
120,Sophie Moraes
121,Luiz Felipe Aragao
122,Rafaela Pereira
123,Benjamin da Paz
124,Vinicius Gomes
125,Lavinia das Neves
126,Stella Moraes
127,Bianca Nunes
128,Lucas Gabriel da Cruz
129,Pedro Miguel Martins
130,Maria Eduarda Duarte
131,Stella Lopes
132,Maria Duarte
133,Nina Silva
134,Larissa Melo
135,Maria Alice Barros
136,Joaquim Porto
137,Bruno Nunes
138,Raquel da Rocha
139,Isabelly Gomes
140,Natalia Pinto
141,Rafael Azevedo
142,Yasmin Sales
143,Kaique Farias
144,Clara Barbosa
145,Vitoria Rocha
146,Joao Silveira
147,Andre Cardoso
148,Maria Luiza Campos
149,Emanuel Araujo
150,Beatriz Farias
151,Carlos Eduardo da Paz
152,Larissa da Rosa
153,Clarice Ribeiro
154,Maria Sophia Lima
155,Fernando Souza
156,Sabrina da Mota
157,Lavinia Costela
158,Mariana Mendes
159,Maria Luiza Mendes
160,Caio Lima
161,Theo Moura
162,Ana Sophia da Luz
163,Igor Silveira
164,Paulo Martins
165,Luiz Fernando Pereira
166,Isis da Rocha
167,Vinicius Costa
168,Melissa Moreira
169,Marcelo Cunha
170,Renan da Cruz
171,Pedro Miguel Freitas
172,Marcela Araujo
173,Davi Almeida
174,Vitoria Oliveira
175,Sophie Fogaca
176,Lucas Gabriel da Costa
177,Felipe Araujo
178,Ana Ribeiro
179,Ana Teixeira
180,Luiz Miguel Ribeiro
181,Lavinia da Luz
182,Joao Gabriel Carvalho
183,Matheus Mendes
184,Maria Alice Correia
185,Caua Monteiro
186,Gabrielly Freitas
187,Arthur Castro
188,Benicio Barros
189,Laura da Cruz
190,Enzo da Cunha
191,Felipe Santos
192,Arthur Santos
193,Rodrigo Barros
194,Eduarda Ferreira
195,Helena Costela
196,Isis Nogueira
197,Gabriela Vieira
198,Levi Moreira
199,Diogo Oliveira
200,Lorenzo Pinto
201,Barbara Goncalves
202,Alana Mendes
203,Julia Oliveira
204,Rafaela Silva
205,Mariana Lopes
206,Ana Costela
207,Luigi das Neves
208,Stephany Costela
209,Matheus Moura
210,Amanda Teixeira
211,Esther Nunes
212,Isadora Pinto
213,Renan Cunha
214,Pedro Miguel Peixoto
215,Brenda Souza
216,Luigi Cunha
217,Alexandre Costa
218,Luiz Gustavo Moreira
219,Maria Luiza Cunha
220,Lucca da Costa
221,Otavio Monteiro
222,Valentina Barros
223,Esther Moura
224,Alice da Paz
225,Igor Costela
226,Cauê Ferreira
227,Ana Correia
228,Felipe Goncalves
229,Joao Gabriel da Rosa
230,Marcelo Moreira
231,Lucas Ribeiro
232,Ana Julia da Costa
233,Luiz Miguel Almeida
234,Pedro Henrique da Paz
235,Livia Jesus
236,Maria Alice Rodrigues
237,Ana Julia da Rosa
238,Luiz Henrique Lima
239,Alicia Fernandes
240,Luiz Fernando Barros
241,Francisco Dias
242,Ana da Rosa
243,Joao Miguel Costela
244,Giovanna Silveira
245,Benicio Cardoso
246,Guilherme Moraes
247,Esther Porto
248,Leticia Ribeiro
249,Luiz Miguel Silva
250,Isabelly Nogueira
251,Anthony da Cruz
252,Emanuella Araujo
253,Gabriela da Luz
254,Ana Beatriz Rezende
255,Pedro Henrique Novaes
256,Alexia Teixeira
257,Joao Vitor Moraes
258,Ana Pereira
259,Bernardo da Costa
260,Joao Guilherme Alves
261,Catarina Moura
262,Melissa Santos
263,Maria Clara Almeida
264,Raul da Conceicao
265,Catarina Duarte
266,Joao Felipe Aragao
267,Pedro Henrique Peixoto
268,Rafael Peixoto
269,Marcelo Goncalves
270,Larissa Carvalho
271,Lucas Carvalho
272,Sophia Monteiro
273,Isabel Almeida
274,Levi Rocha
275,Enrico Almeida
276,Ana Carolina Pires
277,Bryan Mendes
278,Evelyn Barros
279,Alexia Pires
280,Diogo Fernandes
281,Erick Vieira
282,Clara Vieira
283,Fernanda Porto
284,Maitê Barbosa
285,Lara Sales
286,Clarice da Costa
287,Luna Ribeiro
288,Paulo Pinto
289,Kevin Campos
290,Vitor Hugo Barros
291,Alexia Mendes
292,Bernardo Cardoso
293,Miguel Peixoto
294,Isaac Pereira
295,Barbara Moreira
296,Raquel Costa
297,Joaquim da Cruz
298,Nicolas da Mota
299,Calebe da Mota
300,Livia Moreira
301,Pietra Costela
302,Marcela Caldeira
303,Igor Peixoto
304,Juliana Jesus
305,Ana Julia Mendes
306,Kevin Monteiro
307,Lavinia da Luz
308,Danilo Moraes
309,Lara da Mota
310,Pietra Souza
311,Ana Vitoria das Neves
312,Caroline Barros
313,Isis Azevedo
314,Yasmin Fernandes
315,Ana Luiza Rodrigues
316,Alice Fernandes
317,Henrique Teixeira
318,Barbara Moura
319,Maria Lima
320,Alice Nogueira
321,Davi Luiz Ferreira
322,Elisa Ribeiro
323,Joao Miguel Moura
324,Milena da Rocha
325,Joana Peixoto
326,Laura Azevedo
327,Arthur Costela
328,Thiago Dias
329,Pedro Lucas Jesus
330,Clara Oliveira
331,Maria Fernanda Rezende
332,Enzo Cardoso
333,Rodrigo Ramos
334,Lucca Silva
335,Leticia Moreira
336,Joao Miguel Lopes
337,Ana Beatriz Goncalves
338,Joao Miguel Cunha
339,Luana da Paz
340,Giovanna Cunha
341,Camila Cunha
342,Maria Vitoria Pires
343,Marcos Vinicius Teixeira
344,Cecilia Rezende
345,Otavio Nunes
346,Breno da Luz
347,Luiz Gustavo Porto
348,Pedro Henrique Moraes
349,Fernando Fernandes
350,Vitor Hugo Rezende
351,Vitor Teixeira
352,Ana Sophia Viana
353,Brenda da Costa
354,Thomas da Mata
355,Carlos Eduardo Fernandes
356,Maria Cecilia Fernandes
357,Raquel da Paz
358,Laura Rodrigues
359,Maria Pires
360,Nicole Aragao
361,Murilo Moura
362,Maria Eduarda da Mata
363,Diego Cardoso
364,Lucas Gabriel Lima
365,Raquel da Costa
366,Enzo Gabriel Fernandes
367,Luiz Henrique Goncalves
368,Clara Aragao
369,Vicente Melo
370,Ian da Luz
371,Ana Sophia Cavalcanti
372,Joana Farias
373,Leonardo Melo
374,Alana da Cunha
375,Nicole Goncalves
376,Julia Lima
377,Emilly Araujo
378,Augusto Nascimento
379,Evelyn da Conceicao
380,Luiz Fernando Carvalho
381,Thiago da Mata
382,Maria Farias
383,Pedro Oliveira
384,Ana Julia Santos
385,Maria Luiza Ferreira
386,Theo Fogaca
387,Alice Silva
388,Levi Oliveira
389,Rebeca Santos
390,Gabriela Farias
391,Lucca Peixoto
392,Otavio Vieira
393,Ana Livia Mendes
394,Mirella Mendes
395,Maria Luiza Mendes
396,Marina Nascimento
397,Thiago Rezende
398,Marina Lima
399,Davi Lucas Cardoso
400,Maria Eduarda Fogaca
401,Isabelly das Neves
402,Cauê da Cunha
403,Joana Jesus
404,Maria Julia Souza
405,Natalia Fernandes
406,Samuel Caldeira
407,Juliana Cardoso
408,Gabriel Souza
409,Maria Cecilia Porto
410,Elisa Farias
411,Sofia Dias
412,Vicente Ribeiro
413,Nina Castro
414,Igor Goncalves
415,Luana Dias
416,Antônio Teixeira
417,Bernardo Nascimento
418,Emilly Barros
419,Yuri da Cunha
420,Ana Livia Azevedo
421,Juliana Fogaca
422,Murilo Novaes
423,Luiz Henrique da Mata
424,Maria Sophia Martins
425,Leonardo Costela
426,Sofia Costa
427,Rebeca Carvalho
428,Cauê Cavalcanti
429,Sophia da Paz
430,Esther Santos
431,Isis Nunes
432,Joao Caldeira
433,Henrique Freitas
434,Diego Silva
435,Felipe Sales
436,Calebe Ramos
437,Alexandre Aragao
438,Alexia Pires
439,Natalia da Paz
440,Maria Eduarda Monteiro
441,Lorena Cardoso
442,Kevin Sales
443,Joaquim Carvalho
444,Beatriz Nascimento
445,Lucca Carvalho
446,Arthur Monteiro
447,Joaquim Nunes
448,Bryan Teixeira
449,Renan Silva
450,Lorena Porto
451,Lucas Gabriel da Rocha
452,Giovanna Fogaca
453,Isaac Nascimento
454,Brenda das Neves
455,Rafaela Mendes
456,Milena Barros
457,Alana Ferreira
458,Gustavo Henrique Aragao
459,Leandro Vieira
460,Igor Dias
461,Helena Sales
462,Enrico Dias
463,Caroline Dias
464,Isadora da Cruz
465,Arthur Porto
466,Bianca Dias
467,Guilherme Silva
468,Eduardo Teixeira
469,Marcos Vinicius Souza
470,Ian Azevedo
471,Igor Costela
472,Luiz Felipe Duarte
473,Ana Freitas
474,Sofia Silveira
475,Anthony da Cunha
476,Alexandre Campos
477,Melissa Alves
478,Isaac da Cruz
479,Maria Sophia Costela
480,Benicio Peixoto
481,Davi Luiz da Luz
482,Luna Dias
483,Alexia Cardoso
484,Renan Novaes
485,Igor Vieira
486,Davi Luiz Rocha
487,Diogo Cunha
488,Thiago Cardoso
489,Fernanda da Conceicao
490,Nicole Melo
491,Cauê Castro
492,Milena Duarte
493,Maysa Fogaca
494,Ana Moura
495,Felipe Cardoso
496,Heloisa Ferreira
497,Andre Lopes
498,Maria Sophia Ribeiro
499,Murilo Souza
500,Lucas Gabriel Martins
501,Maysa Caldeira
502,Isis Almeida
503,Lavinia Gomes
504,Lorenzo Goncalves
505,Olivia Teixeira
506,Joao Dias
507,Emanuelly Pires
508,Valentina Novaes
509,Sophia Lopes
510,Emilly Jesus
511,Eloah Goncalves
512,Natalia Caldeira
513,Esther da Rocha
514,Clarice Alves
515,Luiz Gustavo Castro
516,Davi Lucca das Neves
517,Breno da Conceicao
518,Augusto Correia
519,Cecilia Porto
520,Kamilly Lopes
521,Lara Pinto
522,Pedro Henrique Rodrigues
523,Benicio Lima
524,Maria Fernanda Ferreira
525,Raquel da Rocha
526,Nicolas Caldeira
527,Leandro Fernandes
528,Bruno Almeida
529,Isabel Lopes
530,Luana Pinto
531,Sophie Pinto
532,Lorena Fogaca
533,Pietra Moraes
534,Antônio Costela
535,Vitoria Aragao
536,Agatha Rodrigues
537,Lara Freitas
538,Theo Araujo
539,Gabriel Porto
540,Bryan Moura
541,Clara Moreira
542,Henrique da Cunha
543,Nina Moraes
544,Miguel Ferreira
545,Francisco Nogueira
546,Giovanna Carvalho
547,Lorena Correia
548,Ana Julia Duarte
549,Bruno Peixoto
550,Vicente Castro
551,Alicia da Conceicao
552,Kamilly Nogueira
553,Diego Porto
554,Beatriz Cardoso
555,Isabella Cardoso
556,Luiz Gustavo da Conceicao
557,Pedro Gomes
558,Luiz Henrique Cavalcanti
559,Livia Porto
560,Maysa Moura
561,Lorenzo Rezende
562,Alana Pires
563,Joao Miguel Castro
564,Vitor Gabriel Cavalcanti
565,Igor Cunha
566,Manuela Lopes
567,Isabella Cardoso
568,Otavio Sales
569,Isabel Aragao
570,Erick Fogaca
571,Enzo da Luz
572,Clara Ribeiro
573,Stephany Ferreira
574,Pedro Miguel Cardoso
575,Joao Gabriel Azevedo
576,Eloah Carvalho
577,Caio Barros
578,Ana Viana
579,Carlos Eduardo Silva
580,Yasmin Gomes
581,Caroline Correia
582,Samuel Oliveira
583,Levi Cardoso
584,Davi Teixeira
585,Antônio Campos
586,Joana Martins
587,Joao Vitor da Costa
588,Davi Lucas Sales
589,Murilo Monteiro
590,Nathan Nascimento
591,Yasmin Campos
592,Mirella Teixeira
593,Yuri Caldeira
594,Pedro Lucas Cunha
595,Maria Clara Cardoso
596,Lucas Gabriel da Paz
597,Beatriz da Cunha
598,Maria Clara Silva
599,Theo da Rosa
600,Maria Cecilia Viana
601,Ana Vitoria Aragao
602,Luana Souza
603,Nathan Carvalho
604,Juan Carvalho
605,Beatriz Costa
606,Benjamin Dias
607,Noah Costa
608,Anthony Cavalcanti
609,Barbara Oliveira
610,Leandro Lopes
611,Ana Sophia Moura
612,Emilly da Rosa
613,Marcos Vinicius Sales
614,Emanuelly Pinto
615,Maria Luiza Cardoso
616,Alexandre Cardoso
617,Amanda Barbosa
618,Davi Lucca da Rosa
619,Francisco da Conceicao
620,Leticia Alves
621,Joana Ferreira
622,Samuel Fernandes
623,Rafael das Neves
624,Sophie da Mata
625,Giovanna Pires
626,Joana Moreira
627,Marcelo Azevedo
628,Nina Peixoto
629,Sabrina Mendes
630,Ana Laura Cavalcanti
631,Alicia Barros
632,Clarice Goncalves
633,Ana Laura Teixeira
634,Fernando das Neves
635,Levi Moraes
636,Bruna Fernandes
637,Kaique Correia
638,Luiza Aragao
639,Davi da Cunha
640,Marina Ribeiro
641,Diego Silveira
642,Pedro Henrique Nogueira
643,Cauê da Costa
644,Valentina Castro
645,Maria Cecilia da Costa
646,Sophie Farias
647,Nicole Rodrigues
648,Bruna da Cruz
649,Rodrigo Rezende
650,Eloah Duarte
651,Isabella da Rosa
652,Kaique Silva
653,Rodrigo Castro
654,Joao Rezende
655,Vitor Gabriel Vieira
656,Amanda Caldeira
657,Ana Carolina da Luz
658,Sofia das Neves
659,Marina Barros
660,Ryan da Rosa
661,Caua Jesus
662,Nina Fernandes
663,Luiz Felipe da Conceicao
664,Kevin Ferreira
665,Yuri da Mata
666,Camila Almeida
667,Agatha Goncalves
668,Joao Rodrigues
669,Benjamin da Rocha
670,Samuel Fernandes
671,Maria Alice Porto
672,Raquel Cardoso
673,Julia Oliveira
674,Joao Vitor Rodrigues
675,Lais da Cunha
676,Joao Lima
677,Diogo Sales
678,Joaquim Lopes
679,Vitor Gabriel Pereira
680,Ana Vitoria Caldeira
681,Milena Viana
682,Antônio Cunha
683,Maria Cecilia Azevedo
684,Nicolas Campos
685,Marcela Araujo
686,Caroline Ribeiro
687,Mariana Ribeiro
688,Davi Lucca Melo
689,Kaique Cardoso
690,Joao Lucas Fogaca
691,Sophia Viana
692,Rafaela Sales
693,Ana Carolina da Paz
694,Mariana Lima
695,Marcela Almeida
696,Emanuel Azevedo
697,Caroline Araujo
698,Maria Cecilia Santos
699,Bernardo Azevedo
700,Larissa Silveira
701,Valentina Dias
702,Pietro Silva
703,Ana Vitoria Azevedo
704,Isabel Vieira
705,Vinicius da Mata
706,Maria Cecilia Carvalho
707,Pedro Lucas Porto
708,Heloisa Costa
709,Maria Luiza Silva
710,Nina Caldeira
711,Isadora Ferreira
712,Luiz Otavio da Mota
713,Leticia da Conceicao
714,Pietro Ribeiro
715,Antônio Cardoso
716,Helena Moura
717,Noah Nogueira
718,Francisco Santos
719,Joao Felipe da Luz
720,Vitoria Fogaca
721,Calebe Moreira
722,Gabriel das Neves
723,Ana Julia Caldeira
724,Giovanna Almeida
725,Heloisa Rocha
726,Maria Cecilia Aragao
727,Sabrina da Costa
